"sample","count","invasive","percentage","invasive_species"
"X12S_first1000reads.LSC.A.1.S19.L001",9,1,"11.1111","Carpobrotus edulis"
"X12S_first1000reads.LSC.A.2.S20.L001",10,2,"20.0000","Acacia melanoxylon, Carpobrotus edulis"
"total",19,3,"15.7895",""
